INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,223) + Blob of color:(0, 0, 255), size: 7, location: (194,230) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,230) + Blob of color:(0, 0, 255), size: 5, location: (193,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (192,224) + Blob of color:(0, 0, 255), size: 7, location: (193,229) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,229) + Blob of color:(0, 0, 255), size: 5, location: (192,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,223) + Blob of color:(0, 0, 255), size: 7, location: (194,228) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,228) + Blob of color:(0, 0, 255), size: 5, location: (193,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (194,222) + Blob of color:(0, 0, 255), size: 7, location: (194,228) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,228) + Blob of color:(0, 0, 255), size: 5, location: (194,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,223) + Blob of color:(0, 0, 255), size: 7, location: (194,227) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,227) + Blob of color:(0, 0, 255), size: 5, location: (195,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,222) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (196,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,221) + Blob of color:(0, 0, 255), size: 7, location: (192,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,225) + Blob of color:(0, 0, 255), size: 5, location: (196,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,222) + Blob of color:(0, 0, 255), size: 7, location: (191,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,225) + Blob of color:(0, 0, 255), size: 5, location: (197,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,223) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (197,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,223) + Blob of color:(0, 0, 255), size: 7, location: (191,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,226) + Blob of color:(0, 0, 255), size: 5, location: (198,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,222) + Blob of color:(0, 0, 255), size: 7, location: (190,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (190,226) + Blob of color:(0, 0, 255), size: 5, location: (198,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,223) + Blob of color:(0, 0, 255), size: 7, location: (191,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,225) + Blob of color:(0, 0, 255), size: 5, location: (198,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,223) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (199,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,222) + Blob of color:(0, 0, 255), size: 7, location: (191,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,225) + Blob of color:(0, 0, 255), size: 5, location: (199,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,222) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (200,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,222) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (201,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (202,221) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (202,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (202,222) + Blob of color:(0, 0, 255), size: 7, location: (191,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,226) + Blob of color:(0, 0, 255), size: 5, location: (202,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (203,222) + Blob of color:(0, 0, 255), size: 7, location: (193,228) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,228) + Blob of color:(0, 0, 255), size: 5, location: (203,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (202,222) + Blob of color:(0, 0, 255), size: 7, location: (194,228) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,228) + Blob of color:(0, 0, 255), size: 5, location: (202,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,223) + Blob of color:(0, 0, 255), size: 7, location: (195,229) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (195,229) + Blob of color:(0, 0, 255), size: 5, location: (201,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,223) + Blob of color:(0, 0, 255), size: 7, location: (194,229) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,229) + Blob of color:(0, 0, 255), size: 5, location: (201,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,222) + Blob of color:(0, 0, 255), size: 7, location: (194,229) 
